City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,fort nelson,90,CA,1528142400,50,58.81,-122.69,55.4,9.17
1,saskylakh,20,RU,1528144866,87,71.97,114.09,50.27,7.63
2,victoria,75,BN,1528142400,94,5.28,115.24,80.6,3.49
3,solnechnyy,36,RU,1528144867,83,50.72,136.64,62.6,4.27
4,ponta delgada,75,PT,1528144200,100,37.73,-25.67,66.2,16.11
5,zabaykalsk,68,CN,1528144868,89,49.64,117.33,45.01,3.27
6,butaritari,92,KI,1528144868,100,3.07,172.79,75.2,2.15
7,bluff,0,AU,1528144869,86,-23.58,149.07,48.47,8.3
8,geraldton,90,CA,1528142400,93,49.72,-86.95,41.0,12.75
9,ponta do sol,80,BR,1528144869,58,-20.63,-46.0,71.87,3.94
10,beyneu,0,KZ,1528144869,35,45.32,55.19,67.1,11.77
11,mehran,0,IR,1528142400,31,33.12,46.17,73.4,2.24
12,pevek,0,RU,1528144870,90,69.7,170.27,34.88,1.59
13,punta arenas,40,CL,1528142400,81,-53.16,-70.91,42.8,9.17
14,rikitea,80,PF,1528144871,100,-23.12,-134.97,73.81,6.62
15,san jose,24,PH,1528144871,98,15.79,120.99,73.99,1.92
16,upernavik,0,GL,1528144872,97,72.79,-56.15,30.61,11.88
17,kapaa,75,US,1528142400,74,22.08,-159.32,80.6,20.8
18,cape town,0,ZA,1528142400,93,-33.93,18.42,44.6,2.24
19,atuona,0,PF,1528144872,100,-9.8,-139.03,80.29,20.04
20,chokurdakh,0,RU,1528144873,97,70.62,147.9,28.22,3.6
21,yellowknife,75,CA,1528142400,34,62.45,-114.38,53.6,16.11
22,tasiilaq,75,GL,1528141800,80,65.61,-37.64,41.0,2.24
23,scordia,0,IT,1528143600,78,37.3,14.84,75.2,4.7
24,umm kaddadah,0,SD,1528144874,16,13.6,26.69,75.25,8.52
25,novoagansk,0,RU,1528144874,89,61.94,76.66,36.19,6.17
26,saint george,20,GR,1528141800,64,39.45,22.34,71.6,3.36
27,khatanga,0,RU,1528144875,83,71.98,102.47,40.1,1.14
28,palmer,90,US,1528142400,76,61.6,-149.11,50.0,3.36
29,murzzuschlag,75,AT,1528143600,93,47.6,15.68,64.4,2.24
30,nikolskoye,40,RU,1528142400,40,59.7,30.79,51.8,17.9
31,avarua,8,CK,1528144876,100,-21.21,-159.78,78.35,15.79
32,palora,100,EC,1528144877,100,-1.7,-77.97,62.83,2.71
33,thompson,90,CA,1528142400,93,55.74,-97.86,39.2,6.93
34,busselton,100,AU,1528144877,100,-33.64,115.35,65.03,46.66
35,lahaina,75,US,1528143360,69,20.87,-156.68,82.4,8.05
36,clyde river,90,CA,1528142400,100,70.47,-68.59,32.0,17.22
37,hasaki,75,JP,1528142400,93,35.73,140.83,66.2,6.93
38,bat yam,40,IL,1528143600,73,32.02,34.75,75.2,2.24
39,sao filipe,0,CV,1528144879,97,14.9,-24.5,72.55,9.42
40,meulaboh,44,ID,1528144880,100,4.14,96.13,80.87,5.39
41,barrow,92,AR,1528144880,74,-38.31,-60.23,45.23,3.04
42,pavino,75,RU,1528142400,71,55.02,82.61,51.8,6.71
43,baiyin,0,CN,1528142400,70,36.55,104.13,44.6,4.47
